Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",3,3.90,Bantam Classics,Mass Market Paperback,201,1972,1915,2022/11/15,2022/11/15,,,read,So mid<br/>Planned out in a cool way clearly but still did not execute that well was bored reading ,,,1,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,4.15,Vintage Books,Paperback,559,2004,1992,2022/11/13,2022/11/13,,,read,I don’t even know how to describe this book but it was overall pretty good. The good parts great and the bad kinda confusing. It feels like a satire about classics which would be a cool read if I had read more classics and didn’t read this book bc I thought it was a classic. Idk odd book but still good<br/>3.5/unrated,,,1,0
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.84,Saga Press,ebook,209,2019,2019,2022/08/01,2022/08/01,,,read,I don’t even know if I liked this book but it was like nothing I’ve ever read before and it was written in such a beautiful way that it was an engaging read regardless,,,2,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""""","=""""",5,4.01,Time Warner Book Group,Paperback,301,2002,2000,2022/10/30,2022/10/22,,,read,Lowkey his books are like pseudo psychological but they’re fire so whatever,,,1,0
3872,A History of the World in 6 Glasses,Tom Standage,"Standage, Tom",,"=""0802715524""","=""9780802715524""",3,3.81,Bloomsbury,Paperback,336,2006,2005,2022/10/15,2022/10/15,,,read,"Idk just kinda mid, I didn’t learn that much and some parts did not seem true /biased",,,1,0
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"Riordan, Rick",,"=""1423140591""","=""9781423140597""",5,4.40,Disney-Hyperion Books,Hardcover,521,2011,2011,2022/10/08,2022/10/08,,,read,BANGER,,,1,0
15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316204366""","=""9780316204361""",5,3.97,"Little, Brown and Company",Hardcover,305,2013,2013,2022/09/29,2022/09/29,,,read,Shoutout Malcolm that’s fr my goat ,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",3,4.03,Vintage International,Paperback,123,1989,1942,2022/09/06,2022/09/06,,,read,2.5 Finished the last 10 pages at school and was so strange tbh but at least it was something new,,,1,0
131359,"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,"Christie, Agatha",,"=""""","=""""",3,4.12,Bantam Books,Paperback,352,1978,1937,2022/08/31,2022/08/31,,,read,Soooo mid but also read it in the passport line so that awful environment probs made it worse tbh,,,1,0
45885495,His & Hers,Alice Feeney,"Feeney, Alice",,"=""1250266076""","=""9781250266071""",3,4.07,Flatiron Books,Hardcover,304,2020,2020,2022/08/26,2022/08/26,,,read,3.5<br/>It started off slow and too much was explained directly to the reader but I enjoyed the last half. I kind of predicted the ending but it was more of a “Ik the ending is super wack it’s def something like this” so it wasn’t technically a good mystery but it was fun so whatever ,,,1,0
